feature,iv,strength
first_month_ratio,1.6553008810203154,strong
avg_payment_ratio_m6,1.534989059120416,strong
min_payment_ratio_m6,1.2946546573824849,strong
int_rate,0.4487129491525569,strong
payment_to_income,0.10028955248853381,medium
loan_to_income,0.09746973802315023,weak
term_months,0.07560846599252892,weak
dti,0.05970305161988745,weak
annual_inc,0.041950328429899916,weak
installment,0.02391014489506146,weak
revol_util,0.020751693900213326,weak
loan_amnt,0.01830515712281372,useless
emp_length_years,0.011381440324856676,useless
revol_bal,0.010606334745008977,useless
open_acc,0.009258850122215504,useless
pub_rec,0.008121472751468461,useless
total_acc,0.004743758368012489,useless
delinq_2yrs,0.001384590309185852,useless
payment_volatility_m6,0.0,useless
active_months_m6,0.0,useless
payment_trend_m6,0.0,useless
